SettlementPoint,Year,Month,AveragePrice
HB_BUSAVG,2016,01,19.20930107526882
HB_BUSAVG,2016,02,15.288247126436781
HB_BUSAVG,2016,03,16.755625841184386
HB_BUSAVG,2016,04,18.289347222222222
HB_BUSAVG,2016,05,18.159583333333334
HB_BUSAVG,2016,06,23.909819444444445
HB_BUSAVG,2016,07,27.18747311827957
HB_BUSAVG,2016,08,30.567137096774193
HB_BUSAVG,2016,09,26.86175
HB_BUSAVG,2016,10,25.204838709677418
HB_BUSAVG,2016,11,19.244902777777778
HB_BUSAVG,2016,12,25.3183064516129
HB_BUSAVG,2017,01,23.252782258064517
HB_BUSAVG,2017,02,20.11782738095238
HB_BUSAVG,2017,03,22.569892328398385
HB_BUSAVG,2017,04,23.705083333333334
HB_BUSAVG,2017,05,25.087352150537633
HB_BUSAVG,2017,06,27.66915277777778
HB_BUSAVG,2017,07,31.454274193548386
HB_BUSAVG,2017,08,27.50701612903226
HB_BUSAVG,2017,09,24.184166666666666
HB_BUSAVG,2017,10,23.563279569892472
HB_BUSAVG,2017,11,22.677458333333334
HB_BUSAVG,2017,12,21.18795698924731
HB_BUSAVG,2018,01,37.869677419354836
HB_BUSAVG,2018,02,21.854315476190475
HB_BUSAVG,2018,03,22.561978465679676
HB_BUSAVG,2018,04,23.142958333333333
HB_BUSAVG,2018,05,34.00524193548387
HB_BUSAVG,2018,06,29.966125
HB_BUSAVG,2018,07,78.85944892473118
HB_BUSAVG,2018,08,31.661559139784945
HB_BUSAVG,2018,09,27.175444444444445
HB_BUSAVG,2018,10,29.95782258064516
HB_BUSAVG,2018,11,30.6445
HB_BUSAVG,2018,12,30.26818548387097
HB_BUSAVG,2019,01,24.592567204301076
HB_BUSAVG,2019,02,21.18636904761905
HB_BUSAVG,2019,03,27.5657200538358
HB_BUSAVG,2019,04,22.613180555555555
HB_BUSAVG,2019,05,23.959932795698926
HB_BUSAVG,2019,06,25.085541666666668
HB_BUSAVG,2019,07,29.72962365591398
HB_BUSAVG,2019,08,126.38408602150538
HB_BUSAVG,2019,09,79.615625
HB_BUSAVG,2019,10,28.247056451612902
HB_BUSAVG,2019,11,23.468374999999998
HB_BUSAVG,2019,12,18.71508064516129
HB_HOUSTON,2016,01,19.565725806451614
HB_HOUSTON,2016,02,15.464540229885058
HB_HOUSTON,2016,03,17.124952893674294
HB_HOUSTON,2016,04,18.940958333333334
HB_HOUSTON,2016,05,19.174086021505378
HB_HOUSTON,2016,06,26.255736111111112
HB_HOUSTON,2016,07,29.538924731182796
HB_HOUSTON,2016,08,32.97254032258064
HB_HOUSTON,2016,09,28.742416666666667
HB_HOUSTON,2016,10,28.249556451612904
HB_HOUSTON,2016,11,20.365930555555554
HB_HOUSTON,2016,12,25.72766129032258
HB_HOUSTON,2017,01,24.781854838709677
HB_HOUSTON,2017,02,23.265714285714285
HB_HOUSTON,2017,03,28.213297442799462
HB_HOUSTON,2017,04,32.29573611111111
HB_HOUSTON,2017,05,31.53317204301075
HB_HOUSTON,2017,06,33.168347222222224
HB_HOUSTON,2017,07,34.37583333333333
HB_HOUSTON,2017,08,29.401720430107527
HB_HOUSTON,2017,09,26.542944444444444
