SettlementPoint,Month,Day,Time,NormalAvgPrice
HB_HOUSTON,1,1,1,0.8362612648034853
HB_HOUSTON,1,1,2,0.7803972760014469
HB_HOUSTON,1,1,3,0.7546356730572638
HB_HOUSTON,1,1,4,0.7596370098925813
HB_HOUSTON,1,1,5,0.7966280295047419
HB_HOUSTON,1,1,6,0.8571158957583002
HB_HOUSTON,1,1,7,0.9559158894673104
HB_HOUSTON,1,1,8,0.9863957347089631
HB_HOUSTON,1,1,9,1.1677649686236888
HB_HOUSTON,1,1,10,1.2065489203088877
HB_HOUSTON,1,1,11,1.171445197615715
HB_HOUSTON,1,1,12,1.0141389994180834
HB_HOUSTON,1,1,13,0.9537454980104745
HB_HOUSTON,1,1,14,0.9096771149521099
HB_HOUSTON,1,1,15,0.8988251576679301
HB_HOUSTON,1,1,16,0.8819338502429894
HB_HOUSTON,1,1,17,0.9093940204142618
HB_HOUSTON,1,1,18,1.379330953242219
HB_HOUSTON,1,1,19,1.475960555494393
HB_HOUSTON,1,1,20,1.2620354497271284
HB_HOUSTON,1,1,21,1.1749366969158421
HB_HOUSTON,1,1,22,1.0265007942374536
HB_HOUSTON,1,1,23,0.9694100624380732
HB_HOUSTON,1,1,24,0.8713649874966579
HB_HOUSTON,1,2,1,0.6798469041522271
HB_HOUSTON,1,2,2,0.6380079443353631
HB_HOUSTON,1,2,3,0.6349677431029959
HB_HOUSTON,1,2,4,0.6523403215736661
HB_HOUSTON,1,2,5,0.7609913227589825
HB_HOUSTON,1,2,6,0.8254146345877179
HB_HOUSTON,1,2,7,1.7120676082845483
HB_HOUSTON,1,2,8,1.8889783657108734
HB_HOUSTON,1,2,9,1.3651227390765388
HB_HOUSTON,1,2,10,1.2690668572824582
HB_HOUSTON,1,2,11,1.0516200834245695
HB_HOUSTON,1,2,12,0.9143043277626471
HB_HOUSTON,1,2,13,0.8177417457631719
HB_HOUSTON,1,2,14,0.7874845049267546
HB_HOUSTON,1,2,15,0.7740207566119852
HB_HOUSTON,1,2,16,0.7511468616256028
HB_HOUSTON,1,2,17,0.8178865172504275
HB_HOUSTON,1,2,18,1.5268324903410273
HB_HOUSTON,1,2,19,1.5724355088265365
HB_HOUSTON,1,2,20,1.1147404518680046
HB_HOUSTON,1,2,21,1.048290339217691
HB_HOUSTON,1,2,22,0.9061247387327065
HB_HOUSTON,1,2,23,0.8148463160180601
HB_HOUSTON,1,2,24,0.675720916765443
HB_HOUSTON,1,3,1,0.6646526884615
HB_HOUSTON,1,3,2,0.6264469236981426
HB_HOUSTON,1,3,3,0.6392087657902871
HB_HOUSTON,1,3,4,0.6683217180629917
HB_HOUSTON,1,3,5,0.8075055583804425
HB_HOUSTON,1,3,6,0.9486834365247908
HB_HOUSTON,1,3,7,1.5889291019850647
HB_HOUSTON,1,3,8,1.4105025972342695
HB_HOUSTON,1,3,9,1.1602907307151618
HB_HOUSTON,1,3,10,1.1354051386354798
HB_HOUSTON,1,3,11,1.087548230789938
HB_HOUSTON,1,3,12,1.0118545548809061
HB_HOUSTON,1,3,13,0.9515548509955235
HB_HOUSTON,1,3,14,0.9072074497253212
HB_HOUSTON,1,3,15,0.8734683296942142
HB_HOUSTON,1,3,16,0.8750635599557323
HB_HOUSTON,1,3,17,0.9261109283243103
HB_HOUSTON,1,3,18,1.253053370422437
HB_HOUSTON,1,3,19,1.3438219723028146
HB_HOUSTON,1,3,20,1.131177778442457
HB_HOUSTON,1,3,21,1.0899410761822153
HB_HOUSTON,1,3,22,1.0246961584861265
HB_HOUSTON,1,3,23,0.969102383872222
HB_HOUSTON,1,3,24,0.9054526964376515
HB_HOUSTON,1,4,1,0.8044473118567127
HB_HOUSTON,1,4,2,0.8000347655166189
HB_HOUSTON,1,4,3,0.8034043463581451
HB_HOUSTON,1,4,4,0.8375012953497779
HB_HOUSTON,1,4,5,0.8692716289984522
HB_HOUSTON,1,4,6,1.0479396417146085
HB_HOUSTON,1,4,7,1.9034922630011333
HB_HOUSTON,1,4,8,1.5052398987788613
HB_HOUSTON,1,4,9,1.1467806797327067
HB_HOUSTON,1,4,10,1.111560537127232
HB_HOUSTON,1,4,11,1.0111149368036452
HB_HOUSTON,1,4,12,0.9247092566530836
HB_HOUSTON,1,4,13,0.8852370239380639
HB_HOUSTON,1,4,14,0.8300400806292559
HB_HOUSTON,1,4,15,0.7838286862311841
HB_HOUSTON,1,4,16,0.7898457948767663
HB_HOUSTON,1,4,17,0.8501773375631378
HB_HOUSTON,1,4,18,1.1601787749835366
