SettlementPoint,Month,Day,Time,NormalAvgPrice
HB_NORTH,1,1,1,0.8164669701444818
HB_NORTH,1,1,2,0.7613842242284914
HB_NORTH,1,1,3,0.7408309608270024
HB_NORTH,1,1,4,0.7456723962060198
HB_NORTH,1,1,5,0.7814807484432806
HB_NORTH,1,1,6,0.83848179894341
HB_NORTH,1,1,7,0.948464595100711
HB_NORTH,1,1,8,0.9937731224213268
HB_NORTH,1,1,9,1.1721754487462508
HB_NORTH,1,1,10,1.212733888525189
HB_NORTH,1,1,11,1.1691609701140326
HB_NORTH,1,1,12,1.0149658206841954
HB_NORTH,1,1,13,0.9549502915518474
HB_NORTH,1,1,14,0.911194677466011
HB_NORTH,1,1,15,0.9032474156174353
HB_NORTH,1,1,16,0.8869875005709239
HB_NORTH,1,1,17,0.9196900263386265
HB_NORTH,1,1,18,1.3840110835375972
HB_NORTH,1,1,19,1.4824840521900646
HB_NORTH,1,1,20,1.276586026825815
HB_NORTH,1,1,21,1.184781450299164
HB_NORTH,1,1,22,1.0430096067475603
HB_NORTH,1,1,23,0.9761429898147161
HB_NORTH,1,1,24,0.8813239346558471
HB_NORTH,1,2,1,0.664034625452472
HB_NORTH,1,2,2,0.6256770882828091
HB_NORTH,1,2,3,0.6234654825360898
HB_NORTH,1,2,4,0.6343852859105165
HB_NORTH,1,2,5,0.7414408265876479
HB_NORTH,1,2,6,0.8088256891830018
HB_NORTH,1,2,7,1.7010012699454875
HB_NORTH,1,2,8,1.859407531554258
HB_NORTH,1,2,9,1.3668414641521172
HB_NORTH,1,2,10,1.2788610230404396
HB_NORTH,1,2,11,1.0599811667948131
HB_NORTH,1,2,12,0.932537385640113
HB_NORTH,1,2,13,0.8455936347222102
HB_NORTH,1,2,14,0.8025364353407688
HB_NORTH,1,2,15,0.783046659697805
HB_NORTH,1,2,16,0.7639715601323508
HB_NORTH,1,2,17,0.8421380007429614
HB_NORTH,1,2,18,1.5342323741069346
HB_NORTH,1,2,19,1.5596658401942065
HB_NORTH,1,2,20,1.1319965789223605
HB_NORTH,1,2,21,1.0689658151408603
HB_NORTH,1,2,22,0.900607327671853
HB_NORTH,1,2,23,0.7997719281573695
HB_NORTH,1,2,24,0.671015006090555
HB_NORTH,1,3,1,0.6827965046949429
HB_NORTH,1,3,2,0.6333774264806501
HB_NORTH,1,3,3,0.6392420322813969
HB_NORTH,1,3,4,0.6693470087252302
HB_NORTH,1,3,5,0.8076735108788438
HB_NORTH,1,3,6,0.9460000130324573
HB_NORTH,1,3,7,1.6058072629884728
HB_NORTH,1,3,8,1.4360464737428567
HB_NORTH,1,3,9,1.170966291549103
HB_NORTH,1,3,10,1.1521213582427037
HB_NORTH,1,3,11,1.0728318878166072
HB_NORTH,1,3,12,0.9921349119983319
HB_NORTH,1,3,13,0.9284843903742271
HB_NORTH,1,3,14,0.8913418869694976
HB_NORTH,1,3,15,0.858187315509276
HB_NORTH,1,3,16,0.8491949199481309
HB_NORTH,1,3,17,0.9065116673074292
HB_NORTH,1,3,18,1.2368844607494969
HB_NORTH,1,3,19,1.3420563914428887
HB_NORTH,1,3,20,1.1543890058189923
HB_NORTH,1,3,21,1.1217036028228302
HB_NORTH,1,3,22,1.0410848217485649
HB_NORTH,1,3,23,0.9629682724826181
HB_NORTH,1,3,24,0.8988485823944534
HB_NORTH,1,4,1,0.8115018707981084
HB_NORTH,1,4,2,0.804472803498738
HB_NORTH,1,4,3,0.8055784994784142
HB_NORTH,1,4,4,0.8389863137214897
