SettlementPoint,Month,Day,Time,NormalAvgPrice
LZ_RAYBN,1,1,1,0.8149217005635129
LZ_RAYBN,1,1,2,0.7600589334264927
LZ_RAYBN,1,1,3,0.739644880538299
LZ_RAYBN,1,1,4,0.744657259595668
LZ_RAYBN,1,1,5,0.7801995838206479
LZ_RAYBN,1,1,6,0.8374318392393335
LZ_RAYBN,1,1,7,0.9506204717711925
LZ_RAYBN,1,1,8,1.0005619940155233
LZ_RAYBN,1,1,9,1.1820101158922793
LZ_RAYBN,1,1,10,1.21582089098835
LZ_RAYBN,1,1,11,1.1669729787201726
LZ_RAYBN,1,1,12,1.0127739720825675
LZ_RAYBN,1,1,13,0.9531722283822167
LZ_RAYBN,1,1,14,0.9092455610067287
LZ_RAYBN,1,1,15,0.9018636936676945
LZ_RAYBN,1,1,16,0.8858240806841138
LZ_RAYBN,1,1,17,0.9185412458040312
LZ_RAYBN,1,1,18,1.3847836323040235
LZ_RAYBN,1,1,19,1.4821149201816606
LZ_RAYBN,1,1,20,1.2764251105001747
LZ_RAYBN,1,1,21,1.185290945820739
LZ_RAYBN,1,1,22,1.0420280389446663
LZ_RAYBN,1,1,23,0.9748621595759223
LZ_RAYBN,1,1,24,0.8801737624739887
LZ_RAYBN,1,2,1,0.6557004782923402
LZ_RAYBN,1,2,2,0.6174825075575867
LZ_RAYBN,1,2,3,0.6153025163570303
LZ_RAYBN,1,2,4,0.6261343476347947
LZ_RAYBN,1,2,5,0.7326132928369691
LZ_RAYBN,1,2,6,0.8153167090080756
LZ_RAYBN,1,2,7,1.784595296555444
LZ_RAYBN,1,2,8,1.8858967626562966
LZ_RAYBN,1,2,9,1.3865425282788573
LZ_RAYBN,1,2,10,1.2883747995288042
LZ_RAYBN,1,2,11,1.0566826097446744
LZ_RAYBN,1,2,12,0.9262918860613975
LZ_RAYBN,1,2,13,0.8401141089144042
LZ_RAYBN,1,2,14,0.7967186590783292
LZ_RAYBN,1,2,15,0.7768262393732526
LZ_RAYBN,1,2,16,0.7569338196681759
LZ_RAYBN,1,2,17,0.8410678550646475
LZ_RAYBN,1,2,18,1.5193176173377425
LZ_RAYBN,1,2,19,1.5462950084446276
LZ_RAYBN,1,2,20,1.123172341361643
LZ_RAYBN,1,2,21,1.0629500844462738
LZ_RAYBN,1,2,22,0.8928426460778609
LZ_RAYBN,1,2,23,0.7901105607516429
LZ_RAYBN,1,2,24,0.662717324969131
LZ_RAYBN,1,3,1,0.6809665506780006
LZ_RAYBN,1,3,2,0.6305647904934525
LZ_RAYBN,1,3,3,0.6375434957497746
LZ_RAYBN,1,3,4,0.6656133991140921
LZ_RAYBN,1,3,5,0.8047222572234446
LZ_RAYBN,1,3,6,0.9458471857401788
LZ_RAYBN,1,3,7,1.7004003062876194
LZ_RAYBN,1,3,8,1.4624264570470382
LZ_RAYBN,1,3,9,1.1772300355720113
LZ_RAYBN,1,3,10,1.1485398028515765
LZ_RAYBN,1,3,11,1.0644076339281388
LZ_RAYBN,1,3,12,0.9846177704975235
LZ_RAYBN,1,3,13,0.9205687644783902
LZ_RAYBN,1,3,14,0.8846672029930891
LZ_RAYBN,1,3,15,0.8514795824408021
LZ_RAYBN,1,3,16,0.8425623479466129
LZ_RAYBN,1,3,17,0.9000978957265122
LZ_RAYBN,1,3,18,1.2263911370443243
LZ_RAYBN,1,3,19,1.3316145040757577
LZ_RAYBN,1,3,20,1.1455932384100183
LZ_RAYBN,1,3,21,1.1131034883833635
LZ_RAYBN,1,3,22,1.033391166122263
LZ_RAYBN,1,3,23,0.9556173730990298
LZ_RAYBN,1,3,24,0.8920336140969846
LZ_RAYBN,1,4,1,0.8103816272517717
LZ_RAYBN,1,4,2,0.8034465321240699
LZ_RAYBN,1,4,3,0.80494388220846
LZ_RAYBN,1,4,4,0.8378067761658644
LZ_RAYBN,1,4,5,0.8717729807117667
LZ_RAYBN,1,4,6,1.0533463804188639
LZ_RAYBN,1,4,7,1.9336306142419009
LZ_RAYBN,1,4,8,1.530449402045065
LZ_RAYBN,1,4,9,1.1515410227951848
LZ_RAYBN,1,4,10,1.1141072706854318
LZ_RAYBN,1,4,11,1.0070073357019484
LZ_RAYBN,1,4,12,0.9162994437475783
LZ_RAYBN,1,4,13,0.8724034439051941
LZ_RAYBN,1,4,14,0.8196809593548259
LZ_RAYBN,1,4,15,0.7781491964877946
LZ_RAYBN,1,4,16,0.7757849595124418
LZ_RAYBN,1,4,17,0.8373339287707938
LZ_RAYBN,1,4,18,1.1416112274987031
LZ_RAYBN,1,4,19,1.1806211375920246
LZ_RAYBN,1,4,20,1.0356934110028961
LZ_RAYBN,1,4,21,0.9999934326750685
LZ_RAYBN,1,4,22,0.9356861869454716
LZ_RAYBN,1,4,23,0.9134623593771549
LZ_RAYBN,1,4,24,0.8748464887797253
LZ_RAYBN,1,5,1,0.9420193389889994
LZ_RAYBN,1,5,2,0.8656315426413815
LZ_RAYBN,1,5,3,0.8766685626459805
LZ_RAYBN,1,5,4,0.8805412012440852
LZ_RAYBN,1,5,5,0.9609952681197129
LZ_RAYBN,1,5,6,1.0774648739577157
LZ_RAYBN,1,5,7,1.5817792353959168
LZ_RAYBN,1,5,8,1.4010238288293742
LZ_RAYBN,1,5,9,1.1800897968074937
LZ_RAYBN,1,5,10,1.0805629848361995
LZ_RAYBN,1,5,11,1.0273142041122583
LZ_RAYBN,1,5,12,0.958187605136087
LZ_RAYBN,1,5,13,0.9255606249470538
LZ_RAYBN,1,5,14,0.8781208021202698
LZ_RAYBN,1,5,15,0.8442352143868525
LZ_RAYBN,1,5,16,0.8252592852561388
LZ_RAYBN,1,5,17,0.8526582033377303
LZ_RAYBN,1,5,18,1.1865764664593192
LZ_RAYBN,1,5,19,1.1063160315135967
LZ_RAYBN,1,5,20,0.9900400576054993
LZ_RAYBN,1,5,21,0.942600234778715
LZ_RAYBN,1,5,22,0.8910941414239207
LZ_RAYBN,1,5,23,0.8791857777347485
LZ_RAYBN,1,5,24,0.8460747177209522
LZ_RAYBN,1,6,1,0.8243524438125547
LZ_RAYBN,1,6,2,0.7800615778620996
LZ_RAYBN,1,6,3,0.7705706780155734
LZ_RAYBN,1,6,4,0.7997212989727608
LZ_RAYBN,1,6,5,0.8785861572212755
LZ_RAYBN,1,6,6,0.978127618706865
LZ_RAYBN,1,6,7,1.1723521048518462
LZ_RAYBN,1,6,8,1.2129144030054517
LZ_RAYBN,1,6,9,1.1751767774252169
LZ_RAYBN,1,6,10,1.1598105586260794
LZ_RAYBN,1,6,11,1.117666443831386
LZ_RAYBN,1,6,12,1.026034065551235
LZ_RAYBN,1,6,13,0.9641172427429454
LZ_RAYBN,1,6,14,0.917905599442598
LZ_RAYBN,1,6,15,0.897341983108458
LZ_RAYBN,1,6,16,0.8763264191625788
LZ_RAYBN,1,6,17,0.902878341352265
LZ_RAYBN,1,6,18,1.4019414916154302
LZ_RAYBN,1,6,19,1.2776558983871122
LZ_RAYBN,1,6,20,1.1213950116282354
LZ_RAYBN,1,6,21,1.0325873059214554
LZ_RAYBN,1,6,22,0.9797094353479527
LZ_RAYBN,1,6,23,0.8761004453567092
LZ_RAYBN,1,6,24,0.8566666980519174
LZ_RAYBN,1,7,1,0.7640848799038679
LZ_RAYBN,1,7,2,0.6649693141375961
LZ_RAYBN,1,7,3,0.6370136417419809
LZ_RAYBN,1,7,4,0.6727040851561458
LZ_RAYBN,1,7,5,0.7434219916114567
LZ_RAYBN,1,7,6,0.9350233194138149
LZ_RAYBN,1,7,7,1.1256301766566452
LZ_RAYBN,1,7,8,1.1983370242310118
LZ_RAYBN,1,7,9,1.7201025777966032
LZ_RAYBN,1,7,10,1.4972306757335372
LZ_RAYBN,1,7,11,1.1608786331554644
LZ_RAYBN,1,7,12,1.018558846414151
LZ_RAYBN,1,7,13,0.9424266002458551
LZ_RAYBN,1,7,14,0.9003273465591779
LZ_RAYBN,1,7,15,0.8668468377217416
LZ_RAYBN,1,7,16,0.8740291250961091
LZ_RAYBN,1,7,17,0.8908246278792455
LZ_RAYBN,1,7,18,1.3351319745305041
LZ_RAYBN,1,7,19,1.3446346932104365
LZ_RAYBN,1,7,20,1.0988899682782307
LZ_RAYBN,1,7,21,1.0029788076482151
LZ_RAYBN,1,7,22,0.9423161035170188
LZ_RAYBN,1,7,23,0.8639739227719946
LZ_RAYBN,1,7,24,0.7996648265891962
LZ_RAYBN,1,8,1,0.7835400435114079
LZ_RAYBN,1,8,2,0.7453838859034196
LZ_RAYBN,1,8,3,0.7438219379311628
LZ_RAYBN,1,8,4,0.766804886665799
LZ_RAYBN,1,8,5,0.8183491697502743
LZ_RAYBN,1,8,6,0.9203220587961843
LZ_RAYBN,1,8,7,1.1224827534911397
LZ_RAYBN,1,8,8,1.322746797076926
LZ_RAYBN,1,8,9,1.2053775637330557
LZ_RAYBN,1,8,10,1.175477416835568
LZ_RAYBN,1,8,11,1.087450491827665
LZ_RAYBN,1,8,12,0.9647260082932
LZ_RAYBN,1,8,13,0.9275739600959483
LZ_RAYBN,1,8,14,0.900463006006062
LZ_RAYBN,1,8,15,0.8741330259023039
LZ_RAYBN,1,8,16,0.8692240465609253
LZ_RAYBN,1,8,17,0.9213261682069209
LZ_RAYBN,1,8,18,1.4526116141988508
LZ_RAYBN,1,8,19,1.373733241599881
LZ_RAYBN,1,8,20,1.145688837650384
LZ_RAYBN,1,8,21,1.0735045277896578
LZ_RAYBN,1,8,22,1.023075921828223
LZ_RAYBN,1,8,23,0.9170865951393666
LZ_RAYBN,1,8,24,0.8650960412056752
LZ_RAYBN,1,9,1,0.8343703037878683
LZ_RAYBN,1,9,2,0.8006629120377523
LZ_RAYBN,1,9,3,0.7994269743402481
LZ_RAYBN,1,9,4,0.7995393323127484
LZ_RAYBN,1,9,5,0.8629092288029663
LZ_RAYBN,1,9,6,0.9595370851532985
LZ_RAYBN,1,9,7,1.42829454642491
LZ_RAYBN,1,9,8,1.4185194028173762
LZ_RAYBN,1,9,9,1.1515568601564585
LZ_RAYBN,1,9,10,1.1000969087512815
LZ_RAYBN,1,9,11,1.0259406469010268
LZ_RAYBN,1,9,12,0.9977387958034297
