SettlementPoint,Month,Day,Time,NormalAvgPrice
LZ_WEST,1,1,1,0.7789466069062128
LZ_WEST,1,1,2,0.7353034991433823
LZ_WEST,1,1,3,0.7200718177722679
LZ_WEST,1,1,4,0.7276481981433922
LZ_WEST,1,1,5,0.7677398776072581
LZ_WEST,1,1,6,0.8719940283390826
LZ_WEST,1,1,7,1.012393827091479
LZ_WEST,1,1,8,1.0582467124625539
LZ_WEST,1,1,9,1.117516104740828
LZ_WEST,1,1,10,1.136220293782041
LZ_WEST,1,1,11,1.0574575061738951
LZ_WEST,1,1,12,0.9127959934627412
LZ_WEST,1,1,13,0.8603926958957985
LZ_WEST,1,1,14,0.8220372702669819
LZ_WEST,1,1,15,0.8334807614525342
LZ_WEST,1,1,16,0.8390841261020114
LZ_WEST,1,1,17,0.9087710413905815
LZ_WEST,1,1,18,1.4314623663692894
LZ_WEST,1,1,19,1.5732038158124058
LZ_WEST,1,1,20,1.4007622417404628
LZ_WEST,1,1,21,1.3082672647096543
LZ_WEST,1,1,22,1.1391403570500784
LZ_WEST,1,1,23,1.0408052534831949
LZ_WEST,1,1,24,0.9462583401018735
LZ_WEST,1,2,1,0.7296107224938962
LZ_WEST,1,2,2,0.697534886052023
LZ_WEST,1,2,3,0.6416312853961866
LZ_WEST,1,2,4,0.7359113332235501
LZ_WEST,1,2,5,0.8516707358110962
LZ_WEST,1,2,6,0.9710959482777136
LZ_WEST,1,2,7,1.764801065375996
LZ_WEST,1,2,8,1.8254014849393922
LZ_WEST,1,2,9,1.3245602102112852
LZ_WEST,1,2,10,1.1944239595042565
LZ_WEST,1,2,11,0.9344378494870015
LZ_WEST,1,2,12,0.8241198834387015
LZ_WEST,1,2,13,0.7450758579212281
LZ_WEST,1,2,14,0.7112816730985402
LZ_WEST,1,2,15,0.7062411845148171
LZ_WEST,1,2,16,0.7008570262549313
LZ_WEST,1,2,17,0.8036715377070073
LZ_WEST,1,2,18,1.49060994207734
LZ_WEST,1,2,19,1.535573391375323
LZ_WEST,1,2,20,1.2105191560045536
LZ_WEST,1,2,21,1.1393795330388274
LZ_WEST,1,2,22,0.9346096843250827
LZ_WEST,1,2,23,0.8182774989439318
LZ_WEST,1,2,24,0.7087041505273182
LZ_WEST,1,3,1,0.7927229397863746
LZ_WEST,1,3,2,0.7367595873443918
LZ_WEST,1,3,3,0.7390856924581173
LZ_WEST,1,3,4,0.7678883469545412
LZ_WEST,1,3,5,0.889735205999983
LZ_WEST,1,3,6,1.0310118842306606
LZ_WEST,1,3,7,1.681295093229495
LZ_WEST,1,3,8,1.5082055068258073
LZ_WEST,1,3,9,1.1772828469702197
LZ_WEST,1,3,10,1.1044894398818703
LZ_WEST,1,3,11,0.9781272003215499
LZ_WEST,1,3,12,0.8854250700539622
